DrugBank ID,Water Solubility,logP,logS,pKa (Strongest Acidic),pKa (Strongest Basic),Physiological Charge,Hydrogen Acceptor Count,Hydrogen Donor Count,Polar Surface Area,Rotatable Bond Count,Refractivity,Polarizability,Number of Rings,Bioavailability,Rule of Five,Ghose Filter,Veber's Rule,MDDR-like Rule,Human Intestinal Absorption_Value,Human Intestinal Absorption_Probability,Blood Brain Barrier_Value,Blood Brain Barrier_Probability,Caco-2 permeable_Value,Caco-2 permeable_Probability,P-glycoprotein substrate_Value,P-glycoprotein substrate_Probability,P-glycoprotein inhibitor I_Value,P-glycoprotein inhibitor I_Probability,P-glycoprotein inhibitor II_Value,P-glycoprotein inhibitor II_Probability,Renal organic cation transporter_Value,Renal organic cation transporter_Probability,CYP450 2C9 substrate_Value,CYP450 2C9 substrate_Probability,CYP450 2D6 substrate_Value,CYP450 2D6 substrate_Probability,CYP450 3A4 substrate_Value,CYP450 3A4 substrate_Probability,CYP450 1A2 substrate_Value,CYP450 1A2 substrate_Probability,CYP450 2C9 inhibitor_Value,CYP450 2C9 inhibitor_Probability,CYP450 2D6 inhibitor_Value,CYP450 2D6 inhibitor_Probability,CYP450 2C19 inhibitor_Value,CYP450 2C19 inhibitor_Probability,CYP450 3A4 inhibitor_Value,CYP450 3A4 inhibitor_Probability,CYP450 inhibitory promiscuity_Value,CYP450 inhibitory promiscuity_Probability,Ames test_Value,Ames test_Probability,Carcinogenicity_Value,Carcinogenicity_Probability,Biodegradation_Value,Biodegradation_Probability,Rat acute toxicity_Value,Rat acute toxicity_Probability,hERG inhibition (predictor I)_Value,hERG inhibition (predictor I)_Probability,hERG inhibition (predictor II)_Value,hERG inhibition (predictor II)_Probability
DB00591,0.0547 mg/mL,1.6,-3.9,13.38,-3.3,0,6,2,93.06 Å2,2,111.41 m3·mol-1,44.84 Å3,5,1,Yes,Yes,No,No,+,0.9865,+,0.9683,+,0.5,Substrate,0.7912,Non-inhibitor,0.5674,Non-inhibitor,0.8383,Non-inhibitor,0.8304,Non-substrate,0.8679,Non-substrate,0.8856,Substrate,0.6964,Non-inhibitor,0.9327,Non-inhibitor,0.9394,Non-inhibitor,0.9559,Non-inhibitor,0.9311,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.8806,Non AMES toxic,0.7682,Non-carcinogens,0.9174,Not ready biodegradable,1.0,"2.7033 LD50, mol/kg",Not applicable,Weak inhibitor,0.9838,Non-inhibitor,0.671
DB00594,0.616 mg/mL,-0.5,-2.6,11.43,7.35,1,7,5,156.79 Å2,1,67.18 m3·mol-1,20 Å3,1,1,Yes,No,No,No,+,0.9408,+,0.7193,-,0.8957,Non-substrate,0.7207,Non-inhibitor,0.9282,Non-inhibitor,0.9677,Non-inhibitor,0.8122,Non-substrate,0.8253,Non-substrate,0.8778,Non-substrate,0.6687,Inhibitor,0.9107,Non-inhibitor,0.9577,Non-inhibitor,0.9231,Non-inhibitor,0.9295,Non-inhibitor,0.9733,Low CYP Inhibitory Promiscuity,0.9605,AMES toxic,0.9107,Non-carcinogens,0.9119,Not ready biodegradable,1.0,"2.5469 LD50, mol/kg",Not applicable,Weak inhibitor,0.9838,Non-inhibitor,0.8945
DB14589,18.2 mg/mL,1.51,-0.91,14.27,-2.9,0,2,2,40.46 Å2,6,41.9 m3·mol-1,18.09 Å3,0,1,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00598,0.00578 mg/mL,1.89,-4.8,8.05,9.8,1,4,4,95.58 Å2,8,94.72 m3·mol-1,36.83 Å3,2,1,Yes,Yes,No,No,+,0.9943,-,0.8313,+,0.8867,Substrate,0.7073,Non-inhibitor,0.8908,Non-inhibitor,0.9269,Non-inhibitor,0.8457,Non-substrate,0.7448,Substrate,0.8918,Non-substrate,0.6202,Non-inhibitor,0.9046,Non-inhibitor,0.9071,Inhibitor,0.8932,Inhibitor,0.8995,Non-inhibitor,0.8256,Low CYP Inhibitory Promiscuity,0.8383,Non AMES toxic,0.9133,Non-carcinogens,0.9189,Not ready biodegradable,0.945,"2.1174 LD50, mol/kg",Not applicable,Weak inhibitor,0.9501,Non-inhibitor,0.7398
DB14624,0.018 mg/mL,3.12,-4.3,-1.3,-4.7,-1,4,1,80.67 Å2,2,89.95 m3·mol-1,38.16 Å3,4,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14625,0.0168 mg/mL,2.46,-4.4,12.46,-3.9,0,5,1,97.74 Å2,4,111.19 m3·mol-1,44.17 Å3,4,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14631,0.432 mg/mL,1.15,-3,1.18,-2.9,-2,7,4,141.36 Å2,4,109.37 m3·mol-1,43.42 Å3,4,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14632,0.00929 mg/mL,3.45,-4.7,12.61,-2.9,0,5,2,100.9 Å2,6,125.9 m3·mol-1,51.06 Å3,4,1,Yes,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14633,0.0483 mg/mL,1.54,-4,3.66,-2.9,-1,7,3,138.2 Å2,7,118.54 m3·mol-1,47.52 Å3,4,1,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00612,0.0707 mg/mL,2.2,-3.7,14.09,9.67,1,5,2,59.95 Å2,12,92.15 m3·mol-1,38.5 Å3,1,1,Yes,Yes,No,No,+,0.9445,-,0.9077,+,0.6149,Substrate,0.7785,Non-inhibitor,0.807,Non-inhibitor,0.7821,Non-inhibitor,0.8568,Non-substrate,0.8134,Substrate,0.8919,Non-substrate,0.6113,Non-inhibitor,0.9046,Non-inhibitor,0.9071,Non-inhibitor,0.923,Non-inhibitor,0.9485,Non-inhibitor,0.8373,Low CYP Inhibitory Promiscuity,0.9766,Non AMES toxic,0.9064,Non-carcinogens,0.9267,Not ready biodegradable,0.8962,"2.0089 LD50, mol/kg",Not applicable,Weak inhibitor,0.7877,Non-inhibitor,0.6611
DB14637,0.0414 mg/mL,1.37,-4,12.61,-2.9,0,5,2,100.9 Å2,4,107.47 m3·mol-1,42.94 Å3,4,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14639,5.54e-05 mg/mL,7.76,-6.9,18.39,-5,0,2,0,43.37 Å2,11,136.15 m3·mol-1,56.18 Å3,4,0,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00620,0.847 mg/mL,0.24,-2.7,11.75,-3.3,0,6,4,115.06 Å2,2,99.38 m3·mol-1,39.8 Å3,4,1,Yes,Yes,No,No,+,0.9823,+,0.9528,+,0.7397,Substrate,0.8204,Non-inhibitor,0.8759,Non-inhibitor,0.9725,Non-inhibitor,0.8178,Non-substrate,0.8858,Non-substrate,0.9006,Substrate,0.7049,Non-inhibitor,0.9144,Non-inhibitor,0.8939,Non-inhibitor,0.9231,Non-inhibitor,0.911,Non-inhibitor,0.9007,Low CYP Inhibitory Promiscuity,0.942,Non AMES toxic,0.8858,Non-carcinogens,0.9521,Not ready biodegradable,0.9952,"2.3369 LD50, mol/kg",Not applicable,Weak inhibitor,0.9562,Inhibitor,0.6125
DB00621,0.014 mg/mL,2.95,-4.3,,-0.53,0,2,1,46.53 Å2,0,84.75 m3·mol-1,35.4 Å3,4,1,Yes,Yes,No,No,+,0.9908,+,0.9537,+,0.6616,Substrate,0.6489,Non-inhibitor,0.5085,Non-inhibitor,0.7936,Non-inhibitor,0.7934,Non-substrate,0.7807,Non-substrate,0.8763,Substrate,0.7065,Non-inhibitor,0.832,Non-inhibitor,0.7894,Non-inhibitor,0.966,Non-inhibitor,0.8868,Non-inhibitor,0.8455,Low CYP Inhibitory Promiscuity,0.9822,Non AMES toxic,0.9499,Non-carcinogens,0.9501,Not ready biodegradable,0.9469,"1.5177 LD50, mol/kg",Not applicable,Weak inhibitor,0.9712,Non-inhibitor,0.7133
DB14643,0.00637 mg/mL,3.14,-4.9,14.8,-2.9,0,5,1,106.97 Å2,7,125.97 m3·mol-1,50.86 Å3,4,1,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00624,0.0333 mg/mL,3.37,-3.9,18.52,-0.88,0,2,1,37.3 Å2,0,84.43 m3·mol-1,33.88 Å3,4,1,Yes,Yes,Yes,No,+,1.0,+,0.973,+,0.8984,Substrate,0.6498,Inhibitor,0.5489,Non-inhibitor,0.8923,Non-inhibitor,0.7324,Non-substrate,0.8167,Non-substrate,0.9116,Substrate,0.7739,Non-inhibitor,0.9005,Non-inhibitor,0.95,Non-inhibitor,0.9452,Non-inhibitor,0.6668,Non-inhibitor,0.8812,Low CYP Inhibitory Promiscuity,0.8683,Non AMES toxic,0.9382,Non-carcinogens,0.9483,Not ready biodegradable,0.9174,"1.6259 LD50, mol/kg",Not applicable,Weak inhibitor,0.8938,Non-inhibitor,0.7163
DB14644,0.0264 mg/mL,1.83,-4.2,3.66,-2.9,-1,7,3,138.2 Å2,7,123.09 m3·mol-1,49.87 Å3,4,1,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14646,0.0235 mg/mL,2.1,-4.2,12.6,-3.8,0,5,1,97.74 Å2,4,106.72 m3·mol-1,42.51 Å3,4,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14649,0.0164 mg/mL,2.12,-4.4,12.44,-3.4,0,5,2,100.9 Å2,4,111.64 m3·mol-1,45.02 Å3,4,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14655,0.000631 mg/mL,5.1,-5.8,,-6.9,0,2,0,43.37 Å2,3,101.96 m3·mol-1,43.19 Å3,4,1,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00635,,1.66,,12.58,-3.3,0,5,2,91.67 Å2,2,97.57 m3·mol-1,38.2 Å3,4,1,Yes,Yes,No,No,+,0.9918,+,0.9383,-,0.5096,Substrate,0.7861,Non-inhibitor,0.7847,Non-inhibitor,0.8383,Non-inhibitor,0.7463,Non-substrate,0.8496,Non-substrate,0.9138,Substrate,0.7407,Non-inhibitor,0.9406,Non-inhibitor,0.9072,Non-inhibitor,0.9418,Non-inhibitor,0.9253,Non-inhibitor,0.8902,Low CYP Inhibitory Promiscuity,0.9095,Non AMES toxic,0.9132,Non-carcinogens,0.9597,Not ready biodegradable,0.925,"1.8914 LD50, mol/kg",Not applicable,Weak inhibitor,0.95,Non-inhibitor,0.584
DB05107,0.00209 mg/mL,4.44,-5.2,18.3,-1.4,0,2,1,37.3 Å2,0,91.34 m3·mol-1,37.98 Å3,4,1,Yes,Yes,Yes,No,+,1.0,+,0.9825,+,0.8006,Substrate,0.5669,Non-inhibitor,0.6611,Non-inhibitor,0.7795,Non-inhibitor,0.7902,Non-substrate,0.8133,Non-substrate,0.8886,Substrate,0.7282,Non-inhibitor,0.7876,Non-inhibitor,0.7726,Non-inhibitor,0.938,Non-inhibitor,0.9056,Non-inhibitor,0.7977,Low CYP Inhibitory Promiscuity,0.9292,Non AMES toxic,0.8898,Non-carcinogens,0.9022,Not ready biodegradable,0.9964,"2.2317 LD50, mol/kg",Not applicable,Weak inhibitor,0.9501,Inhibitor,0.5
DB14660,0.00758 mg/mL,2.7,-4.6,18.4,-4.8,0,2,0,43.37 Å2,2,90.81 m3·mol-1,35.53 Å3,4,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14662,0.0113 mg/mL,2,-4.6,14.62,-2.9,0,6,1,99.13 Å2,4,121.04 m3·mol-1,48.96 Å3,5,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00644,0.0588 mg/mL,-6.3,-4.3,9.47,11.16,1,17,16,474.63 Å2,31,302.51 m3·mol-1,120.21 Å3,6,0,No,No,No,Yes,+,0.9695,-,0.9781,-,0.8941,Substrate,0.8607,Non-inhibitor,0.8452,Non-inhibitor,0.7859,Non-inhibitor,0.6797,Non-substrate,0.769,Non-substrate,0.7647,Substrate,0.5996,Non-inhibitor,0.842,Non-inhibitor,0.8493,Non-inhibitor,0.9054,Non-inhibitor,0.8136,Non-inhibitor,0.7529,Low CYP Inhibitory Promiscuity,0.9411,Non AMES toxic,0.6992,Non-carcinogens,0.7961,Not ready biodegradable,0.9933,"2.6799 LD50, mol/kg",Not applicable,Weak inhibitor,0.9038,Non-inhibitor,0.5274
DB14664,0.00492 mg/mL,4.25,-5,13.61,-3.4,0,4,1,80.67 Å2,5,123.85 m3·mol-1,50.61 Å3,4,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14669,2.9 mg/mL,1.56,-2.2,1.18,-3.4,-2,7,4,141.36 Å2,4,113.37 m3·mol-1,45.43 Å3,4,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00652,0.122 mg/mL,3.89,-3.4,10.42,9.57,1,2,1,23.47 Å2,2,89.8 m3·mol-1,33.97 Å3,3,1,Yes,Yes,Yes,No,+,0.9931,+,0.9769,+,0.7902,Substrate,0.9014,Inhibitor,0.8563,Inhibitor,0.6975,Inhibitor,0.6982,Non-substrate,0.7947,Substrate,0.8919,Substrate,0.7819,Inhibitor,0.5886,Non-inhibitor,0.8321,Inhibitor,0.8147,Non-inhibitor,0.8585,Non-inhibitor,0.8155,Low CYP Inhibitory Promiscuity,0.778,Non AMES toxic,0.8231,Non-carcinogens,0.9322,Not ready biodegradable,0.9888,"2.4411 LD50, mol/kg",Not applicable,Strong inhibitor,0.6301,Inhibitor,0.5
DB14681,0.136 mg/mL,1.66,-3.4,12.58,-3.3,0,5,2,91.67 Å2,2,96.47 m3·mol-1,38.95 Å3,4,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00666,0.0166 mg/mL,-2.7,-4.9,9.49,11.92,1,17,17,472.13 Å2,33,357.8 m3·mol-1,135.67 Å3,8,0,No,No,No,Yes,+,0.9695,-,0.9781,-,0.8941,Substrate,0.8607,Non-inhibitor,0.8452,Non-inhibitor,0.7859,Non-inhibitor,0.6797,Non-substrate,0.769,Non-substrate,0.7647,Substrate,0.5996,Non-inhibitor,0.842,Non-inhibitor,0.8493,Non-inhibitor,0.9054,Non-inhibitor,0.8136,Non-inhibitor,0.7529,Low CYP Inhibitory Promiscuity,0.9411,Non AMES toxic,0.6992,Non-carcinogens,0.7961,Not ready biodegradable,0.9933,"2.6799 LD50, mol/kg",Not applicable,Weak inhibitor,0.9038,Non-inhibitor,0.5274
DB00668,18.6 mg/mL,-0.43,-0.99,9.69,8.91,1,4,4,72.72 Å2,3,49.23 m3·mol-1,19.04 Å3,1,1,Yes,No,No,No,+,0.9934,-,0.966,-,0.8958,Substrate,0.5953,Non-inhibitor,0.9036,Non-inhibitor,0.8465,Non-inhibitor,0.8903,Non-substrate,0.7897,Non-substrate,0.9116,Non-substrate,0.6928,Non-inhibitor,0.7862,Non-inhibitor,0.9563,Non-inhibitor,0.9638,Non-inhibitor,0.9451,Non-inhibitor,0.9121,Low CYP Inhibitory Promiscuity,0.9516,Non AMES toxic,0.9132,Non-carcinogens,0.9322,Ready biodegradable,0.6459,"2.3715 LD50, mol/kg",Not applicable,Weak inhibitor,0.7514,Non-inhibitor,0.7961
DB14703,0.0457 mg/mL,1.22,-4.1,-2.5,-3.4,-1,8,3,155.27 Å2,6,142.94 m3·mol-1,57.93 Å3,5,1,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00675,0.00102 mg/mL,6.35,-5.6,,8.76,1,2,0,12.47 Å2,8,128.43 m3·mol-1,44.19 Å3,3,1,No,No,Yes,Yes,+,0.997,+,0.5838,+,0.8866,Substrate,0.7718,Inhibitor,0.8564,Non-inhibitor,0.6225,Inhibitor,0.6715,Non-substrate,0.8071,Substrate,0.8918,Substrate,0.7407,Inhibitor,0.8535,Non-inhibitor,0.9072,Inhibitor,0.8448,Non-inhibitor,0.9026,Non-inhibitor,0.8796,High CYP Inhibitory Promiscuity,0.5054,Non AMES toxic,0.9132,Non-carcinogens,0.6058,Not ready biodegradable,0.9048,"1.9882 LD50, mol/kg",Not applicable,Strong inhibitor,0.7402,Inhibitor,0.6898
DB00687,0.224 mg/mL,1.32,-3.2,12.55,-3.3,0,5,3,94.83 Å2,2,96.93 m3·mol-1,39.53 Å3,4,1,Yes,Yes,No,No,+,0.9927,+,0.9731,+,0.8415,Substrate,0.7911,Non-inhibitor,0.8385,Non-inhibitor,0.9351,Non-inhibitor,0.7774,Non-substrate,0.8799,Non-substrate,0.909,Substrate,0.7138,Non-inhibitor,0.9306,Non-inhibitor,0.9023,Non-inhibitor,0.9201,Non-inhibitor,0.9285,Non-inhibitor,0.8772,Low CYP Inhibitory Promiscuity,0.903,Non AMES toxic,0.8895,Non-carcinogens,0.9479,Not ready biodegradable,0.9964,"2.1686 LD50, mol/kg",Not applicable,Weak inhibitor,0.9591,Inhibitor,0.5213
DB00695,0.118 mg/mL,1.75,-3.4,4.25,-1.5,-1,5,3,122.63 Å2,5,77.47 m3·mol-1,30.55 Å3,2,1,Yes,Yes,No,No,+,0.9155,-,0.8833,-,0.6436,Non-substrate,0.8775,Non-inhibitor,0.9272,Non-inhibitor,0.8382,Non-inhibitor,0.924,Non-substrate,0.6878,Non-substrate,0.8351,Non-substrate,0.6789,Non-inhibitor,0.9045,Non-inhibitor,0.907,Non-inhibitor,0.9231,Non-inhibitor,0.9025,Non-inhibitor,0.9602,Low CYP Inhibitory Promiscuity,0.6885,Non AMES toxic,0.9132,Non-carcinogens,0.6469,Not ready biodegradable,0.9881,"2.1362 LD50, mol/kg",Not applicable,Weak inhibitor,0.9342,Non-inhibitor,0.8525
DB14752,8.26 mg/mL,1.32,-1.3,13.89,9.52,1,2,2,32.26 Å2,3,49.69 m3·mol-1,18.87 Å3,1,1,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB14754,1.95 mg/mL,0.86,-2,15.68,9.08,1,2,2,78.34 Å2,5,53.08 m3·mol-1,20.64 Å3,1,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB02924,0.351 mg/mL,2.32,-2.6,,-4.2,0,1,0,12.53 Å2,1,45.24 m3·mol-1,18.19 Å3,2,1,Yes,No,Yes,No,+,0.9818,+,0.9626,+,0.6665,Substrate,0.5882,Non-inhibitor,0.6437,Non-inhibitor,0.8979,Non-inhibitor,0.7839,Non-substrate,0.8586,Non-substrate,0.8429,Substrate,0.5669,Inhibitor,0.7089,Non-inhibitor,0.5512,Non-inhibitor,0.9316,Inhibitor,0.5571,Non-inhibitor,0.8418,Low CYP Inhibitory Promiscuity,0.8628,Non AMES toxic,0.9132,Non-carcinogens,0.8036,Not ready biodegradable,0.6793,"1.6719 LD50, mol/kg",Not applicable,Weak inhibitor,0.8685,Non-inhibitor,0.8547
DB00714,0.51 mg/mL,2.88,-2.7,9.26,7.72,1,3,2,43.7 Å2,0,79.99 m3·mol-1,29.7 Å3,4,1,Yes,Yes,No,No,+,0.9816,+,0.9401,+,0.777,Substrate,0.8501,Non-inhibitor,0.8781,Non-inhibitor,0.964,Inhibitor,0.6477,Non-substrate,0.7577,Non-substrate,0.9116,Substrate,0.7039,Inhibitor,0.9107,Non-inhibitor,0.9146,Non-inhibitor,0.9084,Non-inhibitor,0.8718,Non-inhibitor,0.9156,Low CYP Inhibitory Promiscuity,0.9262,AMES toxic,0.6775,Non-carcinogens,0.9736,Not ready biodegradable,0.8928,"2.6446 LD50, mol/kg",Not applicable,Weak inhibitor,0.6544,Inhibitor,0.7734
DB12078,0.00563 mg/mL,3.27,-4.8,11.95,-4,0,5,2,106.14 Å2,6,95.05 m3·mol-1,35.87 Å3,2,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB12097,18.7 mg/mL,-3.9,-1.3,12.56,-3.6,0,8,4,167.66 Å2,9,63.91 m3·mol-1,30.22 Å3,0,1,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00741,0.199 mg/mL,1.28,-3.3,12.59,-2.8,0,5,3,94.83 Å2,2,97.4 m3·mol-1,39.45 Å3,4,1,Yes,Yes,No,No,+,0.9918,+,0.9383,-,0.5096,Substrate,0.7861,Non-inhibitor,0.7847,Non-inhibitor,0.8383,Non-inhibitor,0.7463,Non-substrate,0.8496,Non-substrate,0.9138,Substrate,0.7407,Non-inhibitor,0.9406,Non-inhibitor,0.9072,Non-inhibitor,0.9418,Non-inhibitor,0.9253,Non-inhibitor,0.8902,Low CYP Inhibitory Promiscuity,0.9095,Non AMES toxic,0.9132,Non-carcinogens,0.9597,Not ready biodegradable,0.925,"1.8914 LD50, mol/kg",Not applicable,Weak inhibitor,0.95,Non-inhibitor,0.584
DB00742,229.0 mg/mL,-3.7,0.1,12.59,-3,0,6,6,121.38 Å2,5,38.4 m3·mol-1,17.04 Å3,0,1,No,No,No,No,+,0.6525,-,0.5997,-,0.8958,Non-substrate,0.662,Non-inhibitor,0.9535,Non-inhibitor,0.9551,Non-inhibitor,0.9252,Non-substrate,0.8706,Non-substrate,0.878,Non-substrate,0.7431,Non-inhibitor,0.824,Non-inhibitor,0.9419,Non-inhibitor,0.9412,Non-inhibitor,0.9232,Non-inhibitor,0.9402,Low CYP Inhibitory Promiscuity,0.958,Non AMES toxic,0.9132,Non-carcinogens,0.7823,Ready biodegradable,0.8595,"1.1260 LD50, mol/kg",Not applicable,Weak inhibitor,0.9709,Non-inhibitor,0.9329
DB00745,0.622 mg/mL,1.53,-2.6,8.84,-4.4,0,2,1,60.16 Å2,5,77.39 m3·mol-1,28.71 Å3,2,1,Yes,Yes,No,No,+,1.0,+,0.9947,+,0.5066,Non-substrate,0.8912,Non-inhibitor,0.8842,Non-inhibitor,0.9962,Non-inhibitor,0.8153,Non-substrate,0.793,Non-substrate,0.8659,Non-substrate,0.5971,Non-inhibitor,0.6653,Non-inhibitor,0.6045,Non-inhibitor,0.9117,Non-inhibitor,0.6952,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.6395,Non AMES toxic,0.6562,Non-carcinogens,0.6665,Ready biodegradable,0.6304,"2.0926 LD50, mol/kg",Not applicable,Weak inhibitor,0.9799,Non-inhibitor,0.9279
DB14823,0.0291 mg/mL,3.71,-4.2,,3.84,0,5,0,56.07 Å2,3,125.18 m3·mol-1,43.95 Å3,5,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00764,0.00523 mg/mL,3.5,-4.9,12.49,-3.3,0,4,2,74.6 Å2,2,110.29 m3·mol-1,43.82 Å3,4,1,Yes,Yes,No,No,+,0.995,+,0.9721,+,0.7845,Substrate,0.7849,Non-inhibitor,0.7635,Non-inhibitor,0.656,Non-inhibitor,0.7753,Non-substrate,0.852,Non-substrate,0.9135,Substrate,0.8028,Non-inhibitor,0.9383,Non-inhibitor,0.8572,Non-inhibitor,0.8429,Non-inhibitor,0.8966,Non-inhibitor,0.6761,Low CYP Inhibitory Promiscuity,0.8898,Non AMES toxic,0.8962,Non-carcinogens,0.9393,Not ready biodegradable,1.0,"1.9124 LD50, mol/kg",Not applicable,Weak inhibitor,0.9254,Non-inhibitor,0.6092
DB12134,0.311 mg/mL,0.16,-3.2,,8.62,1,7,1,90.37 Å2,5,133.84 m3·mol-1,49.25 Å3,6,1,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB02998,0.0332 mg/mL,2.53,-3.9,18.4,-0.53,0,2,1,37.3 Å2,0,86.29 m3·mol-1,33.01 Å3,4,1,Yes,Yes,Yes,No,+,1.0,+,0.973,+,0.8984,Substrate,0.6498,Inhibitor,0.5489,Non-inhibitor,0.8923,Non-inhibitor,0.7324,Non-substrate,0.8167,Non-substrate,0.9116,Substrate,0.7739,Non-inhibitor,0.9005,Non-inhibitor,0.95,Non-inhibitor,0.9452,Non-inhibitor,0.6668,Non-inhibitor,0.8812,Low CYP Inhibitory Promiscuity,0.8683,Non AMES toxic,0.9382,Non-carcinogens,0.9483,Not ready biodegradable,0.9174,"1.6259 LD50, mol/kg",Not applicable,Weak inhibitor,0.8938,Non-inhibitor,0.7163
DB03026,13.8 mg/mL,-2,-1.1,1.32,-5.6,-2,5,4,116.09 Å2,3,28.81 m3·mol-1,12.04 Å3,0,1,Yes,No,No,No,+,0.7766,+,0.954,-,0.6567,Non-substrate,0.801,Non-inhibitor,0.8684,Non-inhibitor,0.9219,Non-inhibitor,0.9589,Non-substrate,0.833,Non-substrate,0.8238,Non-substrate,0.6152,Non-inhibitor,0.8656,Non-inhibitor,0.8963,Non-inhibitor,0.9126,Non-inhibitor,0.8566,Non-inhibitor,0.9546,Low CYP Inhibitory Promiscuity,0.9848,AMES toxic,0.5178,Non-carcinogens,0.7024,Not ready biodegradable,0.647,"2.2512 LD50, mol/kg",Not applicable,Weak inhibitor,0.9929,Non-inhibitor,0.9568
DB14923,0.00575 mg/mL,3.51,-5,13.84,6.78,1,9,1,123.71 Å2,10,171.17 m3·mol-1,70.85 Å3,5,1,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00808,0.0342 mg/mL,2.64,-4,8.85,0.097,0,4,2,92.5 Å2,3,103.31 m3·mol-1,36.34 Å3,3,1,Yes,Yes,No,No,+,1.0,+,0.8868,-,0.5529,Non-substrate,0.6859,Non-inhibitor,0.9158,Non-inhibitor,0.9179,Non-inhibitor,0.8575,Non-substrate,0.5265,Non-substrate,0.7924,Non-substrate,0.519,Inhibitor,0.582,Non-inhibitor,0.5775,Non-inhibitor,0.8151,Non-inhibitor,0.6572,Non-inhibitor,0.8309,High CYP Inhibitory Promiscuity,0.7471,Non AMES toxic,0.6869,Non-carcinogens,0.7674,Not ready biodegradable,0.9862,"2.0823 LD50, mol/kg",Not applicable,Weak inhibitor,0.986,Non-inhibitor,0.8804
DB00813,0.024 mg/mL,3.82,-4.2,,8.77,1,2,0,23.55 Å2,6,103.48 m3·mol-1,39.89 Å3,3,1,Yes,Yes,Yes,Yes,+,0.9766,+,0.9901,+,0.6459,Substrate,0.6082,Inhibitor,0.7161,Non-inhibitor,0.8371,Inhibitor,0.5824,Non-substrate,0.7879,Non-substrate,0.9117,Substrate,0.5856,Non-inhibitor,0.7715,Non-inhibitor,0.873,Non-inhibitor,0.6327,Non-inhibitor,0.5724,Non-inhibitor,0.8218,High CYP Inhibitory Promiscuity,0.7346,Non AMES toxic,0.8417,Non-carcinogens,0.8536,Not ready biodegradable,0.8554,"3.9836 LD50, mol/kg",Not applicable,Weak inhibitor,0.796,Inhibitor,0.6791
DB05394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
