DrugBank ID,Description,Kingdom,Super Class,Class,Sub Class,Direct Parent,Alternative Parents,Substituents,Molecular Framework,External Descriptors
DB00921,"This compound belongs to the class of organic compounds known as phenanthrenes and derivatives. These are polycyclic compounds containing a phenanthrene moiety, which is a tricyclic aromatic compound with three non-linearly fused benzene.",Organic compounds,Benzenoids,Phenanthrenes and derivatives,Not Available,Phenanthrenes and derivatives,"['Tetralins', 'Azaspirodecane derivatives', 'Coumarans', 'Aralkylamines', 'Alkyl aryl ethers', '1-hydroxy-2-unsubstituted benzenoids', 'Piperidines', 'Tertiary alcohols', 'Trialkylamines', 'Oxacyclic compounds', 'Dialkyl ethers', 'Azacyclic compounds', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['1-hydroxy-2-unsubstituted benzenoid', 'Alcohol', 'Alkyl aryl ether', 'Amine', 'Aralkylamine', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Azaspirodecane', 'Coumaran', 'Dialkyl ether', 'Ether', 'Hydrocarbon derivative', 'Organic nitrogen compound', 'Organic oxygen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Oxacycle', 'Phenanthrene', 'Piperidine', 'Tertiary alcohol', 'Tertiary aliphatic amine', 'Tertiary amine', 'Tetralin']",Aromatic heteropolycyclic compounds,morphinane alkaloid (CHEBI:3216)
DB00938,This compound belongs to the class of organic compounds known as benzyl alcohols. These are organic compounds containing the phenylmethanol substructure.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzyl alcohols,Benzyl alcohols,"['Aralkylamines', '1-hydroxy-2-unsubstituted benzenoids', 'Secondary alcohols', '1,2-aminoalcohols', 'Dialkylamines', 'Dialkyl ethers', 'Primary alcohols', 'Organopnictogen compounds', 'Hydrocarbon derivatives', 'Aromatic alcohols']","['1,2-aminoalcohol', '1-hydroxy-2-unsubstituted benzenoid', 'Alcohol', 'Amine', 'Aralkylamine', 'Aromatic alcohol', 'Aromatic homomonocyclic compound', 'Benzyl alcohol', 'Dialkyl ether', 'Ether']",Aromatic homomonocyclic compounds,"secondary alcohol, phenols, secondary amino compound, ether, primary alcohol (CHEBI:64064)"
DB15133,,,,,,,,,,
DB00947,This compound belongs to the class of organic compounds known as estrogens and derivatives. These are steroids with a structure containing a 3-hydroxylated estrane.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Estrogens and derivatives,"['3-hydroxysteroids', '17-hydroxysteroids', 'Phenanthrenes and derivatives', 'Tetralins', '1-hydroxy-2-unsubstituted benzenoids', 'Sulfoxides', 'Secondary alcohols', 'Cyclic alcohols and derivatives', 'Sulfinyl compounds', 'Organofluorides', 'Organic oxides', 'Hydrocarbon derivatives', 'Alkyl fluorides']","['1-hydroxy-2-unsubstituted benzenoid', '17-hydroxysteroid', '3-hydroxysteroid', 'Alcohol', 'Alkyl fluoride', 'Alkyl halide', 'Aromatic homopolycyclic compound', 'Benzenoid', 'Cyclic alcohol', 'Estrogen-skeleton', 'Hydrocarbon derivative', 'Hydroxysteroid', 'Organic oxide', 'Organic oxygen compound', 'Organofluoride', 'Organohalogen compound', 'Organooxygen compound', 'Organosulfur compound', 'Phenanthrene', 'Secondary alcohol', 'Sulfinyl compound', 'Sulfoxide', 'Tetralin']",Aromatic homopolycyclic compounds,Not Available
DB00959,This compound belongs to the class of organic compounds known as 21-hydroxysteroids. These are steroids carrying a hydroxyl group at the 21-position of the steroid backbone.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,21-hydroxysteroids,"['Gluco/mineralocorticoids, progestogins and derivatives', '20-oxosteroids', '3-oxo delta-1,4-steroids', '17-hydroxysteroids', '11-beta-hydroxysteroids', 'Delta-1,4-steroids', 'Tertiary alcohols', 'Alpha-hydroxy ketones', 'Secondary alcohols', 'Cyclic ketones', 'Cyclic alcohols and derivatives', 'Primary alcohols', 'Organic oxides', 'Hydrocarbon derivatives']","['11-beta-hydroxysteroid', '11-hydroxysteroid', '17-hydroxysteroid', '20-oxosteroid', '21-hydroxysteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Alpha-hydroxy ketone', 'Carbonyl group', 'Cyclic alcohol', 'Cyclic ketone', 'Delta-1,4-steroid', 'Hydrocarbon derivative', 'Ketone', 'Organic oxide', 'Organic oxygen compound', 'Organooxygen compound', 'Oxosteroid', 'Pregnane-skeleton', 'Primary alcohol', 'Progestogin-skeleton', 'Secondary alcohol', 'Tertiary alcohol']",Aliphatic homopolycyclic compounds,"6-methylprednisolone (CHEBI:6888)  / C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives (LMST02030178)"
DB00960,"This compound belongs to the class of organic compounds known as indoles. These are compounds containing an indole moiety, which consists of pyrrole ring fused to benzene to form 2,3-benzopyrrole.",Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles,Indoles,"['Alkyl aryl ethers', 'Benzenoids', 'Pyrroles', 'Heteroaromatic compounds', 'Secondary alcohols', '1,2-aminoalcohols', 'Dialkylamines', 'Azacyclic compounds', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['1,2-aminoalcohol', 'Alcohol', 'Alkyl aryl ether', 'Amine', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Benzenoid', 'Ether', 'Heteroaromatic compound', 'Hydrocarbon derivative']",Aromatic heteropolycyclic compounds,"indoles, secondary amine (CHEBI:8214)"
DB12370,This compound belongs to the class of organic compounds known as oligopeptides. These are organic compounds containing a sequence of between three and ten alpha-amino acids joined by peptide bonds.,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Oligopeptides,"['Phenylalanine and derivatives', 'Histidine and derivatives', 'N-acyl-alpha amino acids and derivatives', 'Alpha amino acid amides', 'Amphetamines and derivatives', 'Naphthalenes', 'Fatty amides', 'Heteroaromatic compounds', 'Imidazoles', 'Secondary carboxylic acid amides', 'Primary carboxylic acid amides', 'Azacyclic compounds', 'Monoalkylamines', 'Organic oxides', 'Carbonyl compounds', 'Hydrocarbon derivatives']","['Alpha-amino acid amide', 'Alpha-amino acid or derivatives', 'Alpha-oligopeptide', 'Amine', 'Amino acid or derivatives', 'Amphetamine or derivatives', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Azole', 'Benzenoid', 'Carbonyl group', 'Carboxamide group', 'Fatty acyl', 'Fatty amide', 'Heteroaromatic compound', 'Histidine or derivatives', 'Hydrocarbon derivative', 'Imidazole', 'Monocyclic benzene moiety', 'N-acyl-alpha amino acid or derivatives', 'N-substituted-alpha-amino acid', 'Naphthalene', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Phenylalanine or derivatives', 'Primary aliphatic amine', 'Primary amine', 'Primary carboxylic acid amide', 'Secondary carboxylic acid amide']",Aromatic heteropolycyclic compounds,Not Available
DB15198,"This compound belongs to the class of organic compounds known as diphenylmethanes. These are compounds containing a diphenylmethane moiety, which consists of a methane wherein two hydrogen atoms are replaced by two phenyl groups.",Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,Diphenylmethanes,"['Aralkylamines', 'Gamma-amino ketones', 'Trialkylamines', 'Organopnictogen compounds', 'Organic oxides', 'Hydrocarbon derivatives']","['Amine', 'Aralkylamine', 'Aromatic homomonocyclic compound', 'Carbonyl group', 'Diphenylmethane', 'Gamma-aminoketone', 'Hydrocarbon derivative', 'Ketone', 'Organic nitrogen compound', 'Organic oxide']",Aromatic homomonocyclic compounds,Not Available
DB00983,This compound belongs to the class of organic compounds known as amphetamines and derivatives. These are organic compounds containing or derived from 1-phenylpropan-2-amine.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenethylamines,Amphetamines and derivatives,"['Phenylpropanes', 'Phenoxy compounds', 'Methoxybenzenes', 'Anisoles', 'Aralkylamines', 'Alkyl aryl ethers', '1-hydroxy-2-unsubstituted benzenoids', 'Secondary alcohols', '1,2-aminoalcohols', 'Propargyl-type 1,3-dipolar organic compounds', 'Dialkylamines', 'Carboximidic acids', 'Organopnictogen compounds', 'Hydrocarbon derivatives', 'Aromatic alcohols']","['1,2-aminoalcohol', '1-hydroxy-2-unsubstituted benzenoid', 'Alcohol', 'Alkyl aryl ether', 'Amine', 'Amphetamine or derivatives', 'Anisole', 'Aralkylamine', 'Aromatic alcohol', 'Aromatic homomonocyclic compound', 'Carboximidic acid', 'Carboximidic acid derivative', 'Ether', 'Hydrocarbon derivative', 'Methoxybenzene', 'Organic 1,3-dipolar compound', 'Organic nitrogen compound', 'Organic oxygen compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenol', 'Phenol ether', 'Phenoxy compound', 'Phenylpropane', 'Propargyl-type 1,3-dipolar organic compound', 'Secondary alcohol', 'Secondary aliphatic amine', 'Secondary amine']",Aromatic homomonocyclic compounds,"phenylethanolamines, secondary alcohol, phenols, formamides, secondary amino compound (CHEBI:63082)"
DB00984,This compound belongs to the class of organic compounds known as steroid esters. These are compounds containing a steroid moiety which bears a carboxylic acid ester group.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,Steroid esters,"['Estrogens and derivatives', '3-oxo delta-4-steroids', 'Delta-4-steroids', 'Cyclohexenones', 'Benzene and substituted derivatives', 'Carboxylic acid esters', 'Monocarboxylic acids and derivatives', 'Organic oxides', 'Hydrocarbon derivatives']","['3-oxo-delta-4-steroid', '3-oxosteroid', 'Aromatic homopolycyclic compound', 'Benzenoid', 'Carbonyl group', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Cyclic ketone', 'Cyclohexenone', 'Delta-4-steroid']",Aromatic homopolycyclic compounds,3-phenylpropionate ester (CHEBI:7468)
DB15205,,,,,,,,,,
DB00990,This compound belongs to the class of organic compounds known as androgens and derivatives. These are 3-hydroxylated C19 steroid hormones. They are known to favor the development of masculine characteristics. They also show profound effects on scalp and body hair in humans.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,"['3-oxo delta-1,4-steroids', '17-oxosteroids', 'Delta-1,4-steroids', 'Cyclic ketones', 'Organic oxides', 'Hydrocarbon derivatives']","['17-oxosteroid', '3-oxo-delta-1,4-steroid', '3-oxosteroid', 'Aliphatic homopolycyclic compound', 'Androgen-skeleton', 'Carbonyl group', 'Cyclic ketone', 'Delta-1,4-steroid', 'Hydrocarbon derivative', 'Ketone']",Aliphatic homopolycyclic compounds,"17-oxo steroid, 3-oxo-Delta(1),Delta(4)-steroid (CHEBI:4953)"
DB00999,"This compound belongs to the class of organic compounds known as 1,2,4-benzothiadiazine-1,1-dioxides. These are aromatic heterocyclic compounds containing a 1,2,4-benzothiadiazine ring system with two S=O bonds at the 1-position.",Organic compounds,Organoheterocyclic compounds,Thiadiazines,Benzothiadiazines,"1,2,4-benzothiadiazine-1,1-dioxides","['Secondary alkylarylamines', 'Organosulfonamides', 'Benzenoids', 'Aryl chlorides', 'Aminosulfonyl compounds', 'Azacyclic compounds', 'Organopnictogen compounds', 'Organochlorides', 'Organic oxides', 'Hydrocarbon derivatives']","['1,2,4-benzothiadiazine-1,1-dioxide', 'Amine', 'Aminosulfonyl compound', 'Aromatic heteropolycyclic compound', 'Aryl chloride', 'Aryl halide', 'Azacycle', 'Benzenoid', 'Hydrocarbon derivative', 'Organic nitrogen compound']",Aromatic heteropolycyclic compounds,"sulfonamide, organochlorine compound, benzothiadiazine (CHEBI:5778)"
DB08357,"This compound belongs to the class of organic compounds known as dialkyl ethers. These are organic compounds containing the dialkyl ether functional group, with the formula ROR', where R and R' are alkyl groups.",Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,['Hydrocarbon derivatives'],"['Aliphatic acyclic compound', 'Dialkyl ether', 'Hydrocarbon derivative']",Aliphatic acyclic compounds,polyether (CHEBI:44664)
DB01001,This compound belongs to the class of organic compounds known as benzyl alcohols. These are organic compounds containing the phenylmethanol substructure.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzyl alcohols,Benzyl alcohols,"['Aralkylamines', '1-hydroxy-2-unsubstituted benzenoids', 'Secondary alcohols', '1,2-aminoalcohols', 'Dialkylamines', 'Primary alcohols', 'Organopnictogen compounds', 'Hydrocarbon derivatives', 'Aromatic alcohols']","['1,2-aminoalcohol', '1-hydroxy-2-unsubstituted benzenoid', 'Alcohol', 'Amine', 'Aralkylamine', 'Aromatic alcohol', 'Aromatic homomonocyclic compound', 'Benzyl alcohol', 'Hydrocarbon derivative', 'Organic nitrogen compound']",Aromatic homomonocyclic compounds,"phenylethanolamines, phenols, secondary amino compound (CHEBI:2549)"
DB01006,"This compound belongs to the class of organic compounds known as diphenylmethanes. These are compounds containing a diphenylmethane moiety, which consists of a methane wherein two hydrogen atoms are replaced by two phenyl groups.",Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,Diphenylmethanes,"['Benzonitriles', 'Triazoles', 'Heteroaromatic compounds', 'Nitriles', 'Azacyclic compounds', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['1,2,4-triazole', 'Aromatic heteromonocyclic compound', 'Azacycle', 'Azole', 'Benzonitrile', 'Carbonitrile', 'Diphenylmethane', 'Heteroaromatic compound', 'Hydrocarbon derivative', 'Nitrile']",Aromatic heteromonocyclic compounds,"nitrile, triazoles (CHEBI:6413)"
DB08366,This compound belongs to the class of organic compounds known as acylaminobenzoic acid and derivatives. These are derivatives of amino benzoic acid derivatives where the amine group is N-acylated.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Acylaminobenzoic acid and derivatives,"['Salicylic acids', 'Anilides', 'Benzoic acids', 'Benzoyl derivatives', 'Resorcinols', 'N-arylamides', '1-hydroxy-2-unsubstituted benzenoids', '1-hydroxy-4-unsubstituted benzenoids', 'Oxepanes', 'Fatty amides', 'Oxanes', 'Vinylogous acids', 'Tetrahydrofurans', 'Cyclic ketones', 'Secondary carboxylic acid amides', 'Monocarboxylic acids and derivatives', 'Dialkyl ethers', 'Carboxylic acids', 'Oxacyclic compounds', 'Organic oxides', 'Hydrocarbon derivatives', 'Organopnictogen compounds']","['1-hydroxy-2-unsubstituted benzenoid', '1-hydroxy-4-unsubstituted benzenoid', 'Acylaminobenzoic acid or derivatives', 'Anilide', 'Aromatic heteropolycyclic compound', 'Benzoic acid', 'Benzoyl', 'Carbonyl group', 'Carboxamide group', 'Carboxylic acid', 'Carboxylic acid derivative', 'Cyclic ketone', 'Dialkyl ether', 'Dihydroxybenzoic acid', 'Ether', 'Fatty acyl', 'Fatty amide', 'Hydrocarbon derivative', 'Hydroxybenzoic acid', 'Ketone', 'Monocarboxylic acid or derivatives', 'N-arylamide', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Oxacycle', 'Oxane', 'Oxepane', 'Phenol', 'Resorcinol', 'Salicylic acid', 'Salicylic acid or derivatives', 'Secondary carboxylic acid amide', 'Tetrahydrofuran', 'Vinylogous acid']",Aromatic heteropolycyclic compounds,Not Available
DB05804,This compound belongs to the class of organic compounds known as sulfated steroids. These are sterol lipids containing a sulfate group attached to the steroid skeleton.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Sulfated steroids,Sulfated steroids,"['Androstane steroids', '17-oxosteroids', 'Delta-5-steroids', 'Sulfuric acid monoesters', 'Alkyl sulfates', 'Ketones', 'Organic oxides', 'Hydrocarbon derivatives']","['17-oxosteroid', 'Aliphatic homopolycyclic compound', 'Alkyl sulfate', 'Androstane-skeleton', 'Carbonyl group', 'Delta-5-steroid', 'Hydrocarbon derivative', 'Ketone', 'Organic oxide', 'Organic oxygen compound']",Aliphatic homopolycyclic compounds,"steroid sulfate, 17-oxo steroid (CHEBI:16814)  / sulfates, C19 steroids (androgens) and derivatives, Androgens (C04555)  / Sulfates (LMST05020010)"
DB05805,This compound belongs to the class of organic compounds known as phenyltropanes. These are compounds containing a phenyl group linked to a tropane moiety. Tropane is an organonitrogenous [3.2.1] bicyclic organic compound.,Organic compounds,Alkaloids and derivatives,Tropane alkaloids,Phenyltropanes,Phenyltropanes,"['Phenylpiperidines', 'Dichlorobenzenes', 'Aralkylamines', 'N-alkylpyrrolidines', 'Aryl chlorides', 'Trialkylamines', 'Dialkyl ethers', 'Azacyclic compounds', 'Organopnictogen compounds', 'Organochlorides', 'Hydrocarbon derivatives']","['1,2-dichlorobenzene', 'Amine', 'Aralkylamine', 'Aromatic heteropolycyclic compound', 'Aryl chloride', 'Aryl halide', 'Azacycle', 'Benzenoid', 'Chlorobenzene', 'Dialkyl ether', 'Ether', 'Halobenzene', 'Hydrocarbon derivative', 'Monocyclic benzene moiety', 'N-alkylpyrrolidine', 'Organic nitrogen compound', 'Organic oxygen compound', 'Organochloride', 'Organohalogen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenylpiperidine', 'Phenyltropane', 'Piperidine', 'Pyrrolidine', 'Tertiary aliphatic amine', 'Tertiary amine']",Aromatic heteropolycyclic compounds,Not Available
DB05830,,,,,,,,,,
DB08387,"This compound belongs to the class of organic compounds known as phenylpyrazoles. These are compounds containing a phenylpyrazole skeleton, which consists of a pyrazole bound to a phenyl group.",Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles,Phenylpyrazoles,"['Quinolines and derivatives', 'Phenoxy compounds', 'Phenol ethers', 'Alkyl aryl ethers', 'Pyridines and derivatives', 'Heteroaromatic compounds', 'Azacyclic compounds', 'Organopnictogen compounds', 'Organonitrogen compounds', 'Hydrocarbon derivatives']","['Alkyl aryl ether', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Benzenoid', 'Ether', 'Heteroaromatic compound', 'Hydrocarbon derivative', 'Monocyclic benzene moiety', 'Organic nitrogen compound', 'Organic oxygen compound']",Aromatic heteropolycyclic compounds,Not Available
DB08388,This compound belongs to the class of organic compounds known as diphenylethers. These are aromatic compounds containing two benzene rings linked to each other through an ether group.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylethers,Diphenylethers,"['Diarylethers', 'Barbituric acid derivatives', 'Phenoxy compounds', 'Phenol ethers', 'Alkyl aryl ethers', 'N-acyl ureas', 'Fluorobenzenes', 'Aryl fluorides', 'Diazinanes', 'Dicarboximides', 'Azacyclic compounds', 'Dialkyl ethers', 'Hydrocarbon derivatives', 'Carbonyl compounds', 'Organic oxides', 'Organofluorides', 'Organonitrogen compounds', 'Organopnictogen compounds']","['1,3-diazinane', 'Alkyl aryl ether', 'Aromatic heteromonocyclic compound', 'Aryl fluoride', 'Aryl halide', 'Azacycle', 'Barbiturate', 'Carbonic acid derivative', 'Carbonyl group', 'Carboxylic acid derivative', 'Dialkyl ether', 'Diaryl ether', 'Dicarboximide', 'Diphenylether', 'Ether', 'Fluorobenzene', 'Halobenzene', 'Hydrocarbon derivative', 'N-acyl urea', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organofluoride', 'Organohalogen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenol ether', 'Phenoxy compound', 'Pyrimidine', 'Pyrimidone', 'Urea', 'Ureide']",Aromatic heteromonocyclic compounds,barbiturates (CHEBI:45030)
DB01032,This compound belongs to the class of organic compounds known as benzenesulfonamides. These are organic compounds containing a sulfonamide group that is S-linked to a benzene ring.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,Benzenesulfonamides,"['Benzoic acids', 'Benzenesulfonyl compounds', 'Benzoyl derivatives', 'Organosulfonamides', 'Aminosulfonyl compounds', 'Monocarboxylic acids and derivatives', 'Carboxylic acids', 'Organopnictogen compounds', 'Organooxygen compounds', 'Organonitrogen compounds', 'Organic oxides', 'Hydrocarbon derivatives']","['Aminosulfonyl compound', 'Aromatic homomonocyclic compound', 'Benzenesulfonamide', 'Benzenesulfonyl group', 'Benzoic acid', 'Benzoic acid or derivatives', 'Benzoyl', 'Carboxylic acid', 'Carboxylic acid derivative', 'Hydrocarbon derivative', 'Monocarboxylic acid or derivatives', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organic sulfonic acid or derivatives', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Organosulfonic acid amide', 'Organosulfonic acid or derivatives', 'Organosulfur compound', 'Sulfonyl']",Aromatic homomonocyclic compounds,"sulfonamide, benzoic acids (CHEBI:8426)"
DB01037,This compound belongs to the class of organic compounds known as amphetamines and derivatives. These are organic compounds containing or derived from 1-phenylpropan-2-amine.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenethylamines,Amphetamines and derivatives,"['Phenylpropanes', 'Aralkylamines', 'Trialkylamines', 'Acetylides', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['Acetylide', 'Amine', 'Amphetamine or derivatives', 'Aralkylamine', 'Aromatic homomonocyclic compound', 'Hydrocarbon derivative', 'Organic nitrogen compound', 'Organonitrogen compound', 'Organopnictogen compound', 'Phenylpropane']",Aromatic homomonocyclic compounds,"terminal acetylenic compound, selegiline (CHEBI:9086)"
DB08426,"This compound belongs to the class of organic compounds known as alpha amino acids and derivatives. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon), or a derivative thereof.",Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,"['Thienopyridines', 'Pyrrolopyridines', '2,3,5-trisubstituted thiophenes', 'Substituted pyrroles', 'Pyrrolidine-2-ones', 'Pyridines and derivatives', 'Organosulfonamides', 'N-alkylpyrrolidines', 'Tertiary carboxylic acid amides', 'Aminosulfonyl compounds', 'Heteroaromatic compounds', 'Lactams', 'Azacyclic compounds', 'Hydrocarbon derivatives', 'Carbonyl compounds', 'Organopnictogen compounds', 'Organic oxides', 'Organonitrogen compounds']","['2,3,5-trisubstituted thiophene', '2-pyrrolidone', 'Alpha-amino acid or derivatives', 'Aminosulfonyl compound', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Carbonyl group', 'Carboxamide group', 'Heteroaromatic compound', 'Hydrocarbon derivative', 'Lactam', 'N-alkylpyrrolidine', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organic sulfonic acid or derivatives', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Organosulfonic acid amide', 'Organosulfonic acid or derivatives', 'Organosulfur compound', 'Pyridine', 'Pyrrole', 'Pyrrolidine', 'Pyrrolidone', 'Pyrrolopyridine', 'Substituted pyrrole', 'Sulfonyl', 'Tertiary carboxylic acid amide', 'Thienopyridine', 'Thiophene']",Aromatic heteropolycyclic compounds,"pyrrolidinone, sulfonamide, pyrrolopyridine, thienopyridine (CHEBI:45087)"
DB15339,,,,,,,,,,
DB03322,"This compound belongs to the class of organic compounds known as naphthalenes. These are compounds containing a naphthalene moiety, which consists of two fused benzene rings.",Organic compounds,Benzenoids,Naphthalenes,Not Available,Naphthalenes,"['Alkyl aryl ethers', 'Secondary alcohols', '1,2-aminoalcohols', 'Dialkylamines', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['1,2-aminoalcohol', 'Alcohol', 'Alkyl aryl ether', 'Amine', 'Aromatic homopolycyclic compound', 'Ether', 'Hydrocarbon derivative', 'Naphthalene', 'Organic nitrogen compound', 'Organic oxygen compound']",Aromatic homopolycyclic compounds,propranolol (CHEBI:8736)
DB15374,,,,,,,,,,
DB01105,This compound belongs to the class of organic compounds known as chlorobenzenes. These are compounds containing one or more chlorine atoms attached to a benzene moiety.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Halobenzenes,Chlorobenzenes,"['Aralkylamines', 'Aryl chlorides', 'Trialkylamines', 'Organopnictogen compounds', 'Organochlorides', 'Hydrocarbon derivatives']","['Amine', 'Aralkylamine', 'Aromatic homomonocyclic compound', 'Aryl chloride', 'Aryl halide', 'Chlorobenzene', 'Hydrocarbon derivative', 'Organic nitrogen compound', 'Organochloride', 'Organohalogen compound']",Aromatic homomonocyclic compounds,"tertiary amino compound, organochlorine compound (CHEBI:9137)"
DB03350,This compound belongs to the class of inorganic compounds known as miscellaneous mixed metal/non-metals. These are inorganic compounds containing non-metal as well as metal atoms but not belonging to afore mentioned classes.,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,Not Available,Miscellaneous mixed metal/non-metals,['Inorganic cobalt salts'],"['Inorganic cobalt salt', 'Inorganic salt', 'Miscellaneous mixed metal/non-metal']",Not Available,"cobalt coordination entity, trivalent inorganic cation (CHEBI:30027)"
DB03368,This compound belongs to the class of organic compounds known as diphenylethers. These are aromatic compounds containing two benzene rings linked to each other through an ether group.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylethers,Diphenylethers,"['Diarylethers', 'Phenoxy compounds', 'Phenol ethers', 'Pyrimidones', 'Hydropyrimidines', 'Organic carbonic acids and derivatives', 'Propargyl-type 1,3-dipolar organic compounds', 'Azacyclic compounds', 'Organopnictogen compounds', 'Organonitrogen compounds', 'Organic oxides', 'Hydrocarbon derivatives', 'Carbonyl compounds']","['2,5-dihydropyrimidine', 'Aromatic heteromonocyclic compound', 'Azacycle', 'Carbonic acid derivative', 'Carbonyl group', 'Diaryl ether', 'Diphenylether', 'Ether', 'Hydrocarbon derivative', 'Hydropyrimidine', 'Organic 1,3-dipolar compound', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenol ether', 'Phenoxy compound', 'Propargyl-type 1,3-dipolar organic compound', 'Pyrimidine', 'Pyrimidone']",Aromatic heteromonocyclic compounds,barbiturates (CHEBI:43179)
DB01136,This compound belongs to the class of organic compounds known as carbazoles. These are compounds containing a three ring system containing a pyrrole ring fused on either side to a benzene ring.,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Carbazoles,Carbazoles,"['Indoles', 'Phenoxy compounds', 'Methoxybenzenes', 'Anisoles', 'Alkyl aryl ethers', 'Pyrroles', 'Heteroaromatic compounds', 'Secondary alcohols', '1,2-aminoalcohols', 'Dialkylamines', 'Azacyclic compounds', 'Organopnictogen compounds', 'Hydrocarbon derivatives']","['1,2-aminoalcohol', 'Alcohol', 'Alkyl aryl ether', 'Amine', 'Anisole', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Benzenoid', 'Carbazole', 'Ether', 'Heteroaromatic compound', 'Hydrocarbon derivative', 'Indole', 'Methoxybenzene', 'Monocyclic benzene moiety', 'Organic nitrogen compound', 'Organic oxygen compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenol ether', 'Phenoxy compound', 'Pyrrole', 'Secondary alcohol', 'Secondary aliphatic amine', 'Secondary amine']",Aromatic heteropolycyclic compounds,"secondary alcohol, secondary amino compound, carbazoles (CHEBI:3441)"
