DrugBank ID,Human Intestinal Absorption_Value,Human Intestinal Absorption_Probability,Blood Brain Barrier_Value,Blood Brain Barrier_Probability,Caco-2 permeable_Value,Caco-2 permeable_Probability,P-glycoprotein substrate_Value,P-glycoprotein substrate_Probability,P-glycoprotein inhibitor I_Value,P-glycoprotein inhibitor I_Probability,P-glycoprotein inhibitor II_Value,P-glycoprotein inhibitor II_Probability,Renal organic cation transporter_Value,Renal organic cation transporter_Probability,CYP450 2C9 substrate_Value,CYP450 2C9 substrate_Probability,CYP450 2D6 substrate_Value,CYP450 2D6 substrate_Probability,CYP450 3A4 substrate_Value,CYP450 3A4 substrate_Probability,CYP450 1A2 substrate_Value,CYP450 1A2 substrate_Probability,CYP450 2C9 inhibitor_Value,CYP450 2C9 inhibitor_Probability,CYP450 2D6 inhibitor_Value,CYP450 2D6 inhibitor_Probability,CYP450 2C19 inhibitor_Value,CYP450 2C19 inhibitor_Probability,CYP450 3A4 inhibitor_Value,CYP450 3A4 inhibitor_Probability,CYP450 inhibitory promiscuity_Value,CYP450 inhibitory promiscuity_Probability,Ames test_Value,Ames test_Probability,Carcinogenicity_Value,Carcinogenicity_Probability,Biodegradation_Value,Biodegradation_Probability,Rat acute toxicity_Value,Rat acute toxicity_Probability,hERG inhibition (predictor I)_Value,hERG inhibition (predictor I)_Probability,hERG inhibition (predictor II)_Value,hERG inhibition (predictor II)_Probability
DB00813,+,0.9766,+,0.9901,+,0.6459,Substrate,0.6082,Inhibitor,0.7161,Non-inhibitor,0.8371,Inhibitor,0.5824,Non-substrate,0.7879,Non-substrate,0.9117,Substrate,0.5856,Non-inhibitor,0.7715,Non-inhibitor,0.873,Non-inhibitor,0.6327,Non-inhibitor,0.5724,Non-inhibitor,0.8218,High CYP Inhibitory Promiscuity,0.7346,Non AMES toxic,0.8417,Non-carcinogens,0.8536,Not ready biodegradable,0.8554,"3.9836 LD50, mol/kg",Not applicable,Weak inhibitor,0.796,Inhibitor,0.6791
DB05394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00819,+,0.9156,+,0.9382,-,0.7761,Non-substrate,0.8369,Non-inhibitor,0.9267,Non-inhibitor,0.9507,Non-inhibitor,0.9365,Non-substrate,0.7316,Non-substrate,0.9116,Non-substrate,0.7817,Non-inhibitor,0.9259,Non-inhibitor,0.9071,Non-inhibitor,0.9625,Non-inhibitor,0.9026,Non-inhibitor,0.9037,Low CYP Inhibitory Promiscuity,0.8798,Non AMES toxic,0.8445,Non-carcinogens,0.802,Not ready biodegradable,0.9301,"1.8939 LD50, mol/kg",Not applicable,Weak inhibitor,0.9926,Non-inhibitor,0.9449
DB00830,+,1.0,+,0.9723,+,0.7082,Substrate,0.5953,Non-inhibitor,0.7284,Non-inhibitor,0.9708,Inhibitor,0.5,Non-substrate,0.7859,Non-substrate,0.5985,Non-substrate,0.5798,Non-inhibitor,0.6065,Non-inhibitor,0.9188,Non-inhibitor,0.6846,Non-inhibitor,0.7002,Non-inhibitor,0.8524,Low CYP Inhibitory Promiscuity,0.7188,Non AMES toxic,0.8037,Non-carcinogens,0.9102,Not ready biodegradable,0.9538,"2.6487 LD50, mol/kg",Not applicable,Weak inhibitor,0.7603,Non-inhibitor,0.7129
DB12221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00852,+,0.9645,+,0.5638,+,0.8866,Non-substrate,0.7182,Non-inhibitor,0.9795,Non-inhibitor,0.984,Non-inhibitor,0.8965,Non-substrate,0.8001,Non-substrate,0.7839,Non-substrate,0.7235,Non-inhibitor,0.5595,Non-inhibitor,0.7209,Inhibitor,0.5846,Non-inhibitor,0.5737,Non-inhibitor,0.9431,Low CYP Inhibitory Promiscuity,0.907,Non AMES toxic,0.9517,Non-carcinogens,0.7739,Not ready biodegradable,0.7807,"2.3882 LD50, mol/kg",Not applicable,Weak inhibitor,0.9329,Non-inhibitor,0.9277
DB03085,+,0.893,+,0.651,-,0.7739,Non-substrate,0.7721,Non-inhibitor,0.976,Non-inhibitor,0.9877,Non-inhibitor,0.9549,Non-substrate,0.8584,Non-substrate,0.9123,Non-substrate,0.8096,Non-inhibitor,0.9308,Non-inhibitor,0.9635,Non-inhibitor,0.9736,Non-inhibitor,0.9756,Non-inhibitor,0.9693,Low CYP Inhibitory Promiscuity,0.989,Non AMES toxic,0.9556,Non-carcinogens,0.6589,Ready biodegradable,0.9398,"1.5594 LD50, mol/kg",Not applicable,Weak inhibitor,0.9917,Non-inhibitor,0.9585
DB00858,+,1.0,+,0.984,+,0.8629,Substrate,0.5627,Inhibitor,0.5153,Non-inhibitor,0.6722,Non-inhibitor,0.8105,Non-substrate,0.7608,Non-substrate,0.9117,Substrate,0.7529,Non-inhibitor,0.5,Non-inhibitor,0.6907,Non-inhibitor,0.9731,Non-inhibitor,0.8725,Non-inhibitor,0.8587,Low CYP Inhibitory Promiscuity,0.9634,Non AMES toxic,0.9326,Non-carcinogens,0.8955,Not ready biodegradable,0.9827,"2.2244 LD50, mol/kg",Not applicable,Weak inhibitor,0.9399,Non-inhibitor,0.5786
DB00860,+,0.9918,+,0.9383,-,0.5096,Substrate,0.7861,Non-inhibitor,0.7847,Non-inhibitor,0.8383,Non-inhibitor,0.7463,Non-substrate,0.8496,Non-substrate,0.9138,Substrate,0.7407,Non-inhibitor,0.9406,Non-inhibitor,0.9072,Non-inhibitor,0.9418,Non-inhibitor,0.9253,Non-inhibitor,0.8902,Low CYP Inhibitory Promiscuity,0.9095,Non AMES toxic,0.9132,Non-carcinogens,0.9597,Not ready biodegradable,0.925,"1.8914 LD50, mol/kg",Not applicable,Weak inhibitor,0.95,Non-inhibitor,0.584
DB12248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00866,+,0.9831,-,0.9394,+,0.8866,Substrate,0.6064,Inhibitor,0.5066,Non-inhibitor,0.8382,Non-inhibitor,0.8305,Non-substrate,0.824,Substrate,0.882,Non-substrate,0.7469,Inhibitor,0.9106,Non-inhibitor,0.9071,Inhibitor,0.8931,Non-inhibitor,0.9025,Non-inhibitor,0.8839,Low CYP Inhibitory Promiscuity,0.8933,Non AMES toxic,0.9133,Non-carcinogens,0.9106,Not ready biodegradable,0.9646,"2.5069 LD50, mol/kg",Not applicable,Weak inhibitor,0.8664,Non-inhibitor,0.6946
DB12255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00871,+,0.987,-,0.9355,-,0.8404,Substrate,0.6335,Non-inhibitor,0.8954,Non-inhibitor,0.9672,Non-inhibitor,0.9067,Non-substrate,0.7678,Non-substrate,0.7922,Non-substrate,0.6291,Non-inhibitor,0.9516,Non-inhibitor,0.9303,Non-inhibitor,0.923,Non-inhibitor,0.9115,Non-inhibitor,0.8766,Low CYP Inhibitory Promiscuity,0.9117,Non AMES toxic,0.9119,Non-carcinogens,0.8484,Not ready biodegradable,0.9808,"2.1080 LD50, mol/kg",Not applicable,Weak inhibitor,0.9548,Non-inhibitor,0.9467
DB00872,+,1.0,+,0.9522,+,0.5291,Substrate,0.5919,Inhibitor,0.6901,Inhibitor,0.8429,Non-inhibitor,0.6631,Non-substrate,0.7671,Non-substrate,0.7534,Substrate,0.6602,Inhibitor,0.7008,Inhibitor,0.5368,Non-inhibitor,0.6597,Inhibitor,0.8477,Inhibitor,0.9027,High CYP Inhibitory Promiscuity,0.9043,Non AMES toxic,0.6672,Non-carcinogens,0.8831,Not ready biodegradable,0.9584,"2.5446 LD50, mol/kg",Not applicable,Weak inhibitor,0.9885,Inhibitor,0.8456
DB12266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00880,+,0.9119,-,0.9506,-,0.7368,Non-substrate,0.706,Non-inhibitor,0.8482,Non-inhibitor,0.8381,Non-inhibitor,0.8177,Non-substrate,0.755,Non-substrate,0.8379,Non-substrate,0.6308,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Non-inhibitor,0.923,Non-inhibitor,0.9382,Non-inhibitor,0.8901,Low CYP Inhibitory Promiscuity,0.8658,Non AMES toxic,0.9132,Non-carcinogens,0.7792,Not ready biodegradable,1.0,"1.5023 LD50, mol/kg",Not applicable,Weak inhibitor,0.9654,Non-inhibitor,0.9352
DB00882,+,1.0,+,0.8723,+,0.7235,Substrate,0.7536,Inhibitor,0.7799,Non-inhibitor,0.6476,Inhibitor,0.7021,Non-substrate,0.7972,Non-substrate,0.6847,Substrate,0.7021,Inhibitor,0.9332,Non-inhibitor,0.6036,Inhibitor,0.8315,Inhibitor,0.7004,Non-inhibitor,0.8089,High CYP Inhibitory Promiscuity,0.9254,Non AMES toxic,0.5,Non-carcinogens,0.621,Not ready biodegradable,0.9895,"1.8805 LD50, mol/kg",Not applicable,Strong inhibitor,0.8038,Inhibitor,0.8672
DB00887,+,0.9967,-,0.6636,-,0.6492,Non-substrate,0.509,Non-inhibitor,0.8765,Non-inhibitor,0.8103,Non-inhibitor,0.8966,Non-substrate,0.6368,Non-substrate,0.7656,Non-substrate,0.6059,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Non-inhibitor,0.9231,Non-inhibitor,0.9025,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.7344,Non AMES toxic,0.6794,Non-carcinogens,0.7294,Not ready biodegradable,0.9837,"1.8148 LD50, mol/kg",Not applicable,Weak inhibitor,0.9319,Non-inhibitor,0.8591
DB00893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00894,+,0.9945,+,0.9379,+,0.7355,Substrate,0.6792,Inhibitor,0.6476,Non-inhibitor,0.6498,Non-inhibitor,0.7565,Non-substrate,0.8542,Non-substrate,0.9116,Substrate,0.6459,Non-inhibitor,0.7315,Non-inhibitor,0.8996,Non-inhibitor,0.9177,Non-inhibitor,0.8484,Non-inhibitor,0.7612,Low CYP Inhibitory Promiscuity,0.9224,Non AMES toxic,0.9515,Non-carcinogens,0.9515,Not ready biodegradable,0.9096,"1.7356 LD50, mol/kg",Not applicable,Weak inhibitor,0.8719,Non-inhibitor,0.8734
DB00903,+,0.9591,-,0.6921,+,0.5597,Substrate,0.54,Non-inhibitor,0.5574,Non-inhibitor,0.9828,Non-inhibitor,0.9052,Non-substrate,0.8508,Non-substrate,0.8947,Non-substrate,0.5262,Non-inhibitor,0.9045,Inhibitor,0.8949,Non-inhibitor,0.9231,Non-inhibitor,0.9025,Non-inhibitor,0.831,Low CYP Inhibitory Promiscuity,0.8384,Non AMES toxic,0.9133,Non-carcinogens,0.8344,Ready biodegradable,0.6545,"2.4505 LD50, mol/kg",Not applicable,Weak inhibitor,0.9228,Non-inhibitor,0.9044
DB00907,+,0.8644,+,0.8805,+,0.7654,Substrate,0.5,Inhibitor,0.8168,Non-inhibitor,0.893,Inhibitor,0.6182,Non-substrate,0.7897,Non-substrate,0.9116,Substrate,0.6856,Non-inhibitor,0.8627,Non-inhibitor,0.9341,Non-inhibitor,0.5614,Non-inhibitor,0.9383,Non-inhibitor,0.9237,Low CYP Inhibitory Promiscuity,0.9408,Non AMES toxic,0.7437,Non-carcinogens,0.9585,Not ready biodegradable,0.5319,"2.6387 LD50, mol/kg",Not applicable,Weak inhibitor,0.8463,Non-inhibitor,0.8042
DB00921,+,0.9055,+,0.9401,+,0.6893,Substrate,0.9126,Inhibitor,0.5192,Non-inhibitor,0.6992,Inhibitor,0.5797,Non-substrate,0.8366,Substrate,0.8919,Substrate,0.8142,Non-inhibitor,0.9153,Non-inhibitor,0.8692,Non-inhibitor,0.6721,Non-inhibitor,0.7801,Non-inhibitor,0.8322,Low CYP Inhibitory Promiscuity,0.9212,Non AMES toxic,0.7448,Non-carcinogens,0.9391,Not ready biodegradable,1.0,"3.1511 LD50, mol/kg",Not applicable,Weak inhibitor,0.8366,Non-inhibitor,0.586
DB00938,+,0.8516,-,0.8862,-,0.6968,Substrate,0.7767,Inhibitor,0.539,Inhibitor,0.7663,Non-inhibitor,0.6106,Non-substrate,0.8,Non-substrate,0.9116,Non-substrate,0.5937,Inhibitor,0.9106,Non-inhibitor,0.9099,Inhibitor,0.8931,Non-inhibitor,0.9025,Non-inhibitor,0.6121,Low CYP Inhibitory Promiscuity,0.8618,Non AMES toxic,0.807,Non-carcinogens,0.9378,Ready biodegradable,0.5587,"2.0830 LD50, mol/kg",Not applicable,Strong inhibitor,0.741,Inhibitor,0.7149
DB15133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00947,+,1.0,+,0.9217,-,0.5095,Substrate,0.722,Non-inhibitor,0.6251,Non-inhibitor,0.967,Non-inhibitor,0.7568,Non-substrate,0.7667,Non-substrate,0.7737,Substrate,0.6945,Non-inhibitor,0.6842,Non-inhibitor,0.9071,Non-inhibitor,0.9231,Non-inhibitor,0.658,Inhibitor,0.7959,Low CYP Inhibitory Promiscuity,0.6701,Non AMES toxic,0.6318,Non-carcinogens,0.75,Not ready biodegradable,1.0,"2.6310 LD50, mol/kg",Not applicable,Weak inhibitor,0.6158,Inhibitor,0.7955
DB00959,+,0.9911,+,0.9484,-,0.6404,Substrate,0.7812,Non-inhibitor,0.7489,Non-inhibitor,0.604,Non-inhibitor,0.769,Non-substrate,0.8415,Non-substrate,0.9115,Substrate,0.7582,Non-inhibitor,0.9473,Non-inhibitor,0.907,Non-inhibitor,0.9513,Non-inhibitor,0.9026,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.9167,Non AMES toxic,0.9337,Non-carcinogens,0.9529,Not ready biodegradable,0.9492,"2.0025 LD50, mol/kg",Not applicable,Weak inhibitor,0.9459,Non-inhibitor,0.5985
DB00960,+,0.9951,+,0.6929,+,0.8867,Substrate,0.6667,Non-inhibitor,0.9272,Non-inhibitor,0.9423,Non-inhibitor,0.8179,Non-substrate,0.8315,Substrate,0.8919,Non-substrate,0.708,Non-inhibitor,0.7809,Non-inhibitor,0.9071,Inhibitor,0.5,Non-inhibitor,0.9025,Non-inhibitor,0.831,Low CYP Inhibitory Promiscuity,0.8331,Non AMES toxic,0.9218,Non-carcinogens,0.9367,Not ready biodegradable,0.9843,"2.9438 LD50, mol/kg",Not applicable,Weak inhibitor,0.9404,Non-inhibitor,0.5774
DB12370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB15198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00983,+,0.8991,-,0.8026,-,0.6916,Substrate,0.747,Non-inhibitor,0.8773,Non-inhibitor,0.8561,Non-inhibitor,0.8818,Non-substrate,0.714,Non-substrate,0.7086,Substrate,0.5556,Non-inhibitor,0.6609,Non-inhibitor,0.907,Inhibitor,0.8931,Inhibitor,0.8994,Non-inhibitor,0.8757,Low CYP Inhibitory Promiscuity,0.8442,Non AMES toxic,0.7517,Non-carcinogens,0.8704,Not ready biodegradable,0.992,"2.4047 LD50, mol/kg",Not applicable,Weak inhibitor,0.9611,Non-inhibitor,0.6602
DB00984,+,1.0,+,0.9543,+,0.6714,Substrate,0.6529,Inhibitor,0.7951,Inhibitor,0.6657,Non-inhibitor,0.6836,Non-substrate,0.8112,Non-substrate,0.9213,Substrate,0.6889,Non-inhibitor,0.8333,Non-inhibitor,0.8469,Non-inhibitor,0.9277,Inhibitor,0.6153,Non-inhibitor,0.7091,Low CYP Inhibitory Promiscuity,0.5453,Non AMES toxic,0.911,Non-carcinogens,0.9399,Not ready biodegradable,0.9685,"1.8785 LD50, mol/kg",Not applicable,Weak inhibitor,0.7552,Non-inhibitor,0.737
DB15205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00990,+,1.0,+,0.9778,+,0.7992,Substrate,0.5589,Inhibitor,0.8974,Non-inhibitor,0.6749,Non-inhibitor,0.6499,Non-substrate,0.8764,Non-substrate,0.9115,Substrate,0.7167,Non-inhibitor,0.8552,Non-inhibitor,0.9224,Non-inhibitor,0.9373,Non-inhibitor,0.751,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.8276,Non AMES toxic,0.9483,Non-carcinogens,0.9245,Not ready biodegradable,0.9539,"1.7582 LD50, mol/kg",Not applicable,Weak inhibitor,0.76,Non-inhibitor,0.7791
DB00999,+,0.9202,-,0.9659,-,0.8956,Non-substrate,0.6533,Non-inhibitor,0.8624,Non-inhibitor,0.8688,Non-inhibitor,0.8416,Non-substrate,0.7664,Non-substrate,0.8333,Non-substrate,0.6217,Non-inhibitor,0.9401,Non-inhibitor,0.9071,Non-inhibitor,0.9252,Non-inhibitor,0.9025,Non-inhibitor,0.9569,Low CYP Inhibitory Promiscuity,0.9036,Non AMES toxic,0.9133,Non-carcinogens,0.7986,Not ready biodegradable,0.9964,"2.0666 LD50, mol/kg",Not applicable,Weak inhibitor,0.9576,Non-inhibitor,0.9135
DB08357,+,0.9956,+,0.9617,+,0.6684,Non-substrate,0.5384,Non-inhibitor,0.7381,Non-inhibitor,0.8763,Non-inhibitor,0.8289,Non-substrate,0.8849,Non-substrate,0.846,Non-substrate,0.6401,Non-inhibitor,0.8245,Non-inhibitor,0.9147,Non-inhibitor,0.9348,Non-inhibitor,0.9136,Non-inhibitor,0.9682,Low CYP Inhibitory Promiscuity,0.8896,Non AMES toxic,0.7933,Carcinogens,0.5528,Not ready biodegradable,0.5093,"1.5452 LD50, mol/kg",Not applicable,Weak inhibitor,0.8567,Non-inhibitor,0.7523
DB01001,+,0.9812,-,0.9659,-,0.7112,Substrate,0.684,Non-inhibitor,0.8781,Non-inhibitor,0.9673,Non-inhibitor,0.8974,Non-substrate,0.7897,Non-substrate,0.9116,Non-substrate,0.7074,Non-inhibitor,0.9046,Non-inhibitor,0.9197,Non-inhibitor,0.9231,Non-inhibitor,0.9287,Non-inhibitor,0.9343,Low CYP Inhibitory Promiscuity,0.8834,Non AMES toxic,0.8409,Non-carcinogens,0.8863,Not ready biodegradable,0.9734,"2.5275 LD50, mol/kg",Not applicable,Weak inhibitor,0.9564,Non-inhibitor,0.9288
DB01006,+,0.9965,+,0.9737,+,0.6347,Non-substrate,0.8391,Non-inhibitor,0.8087,Non-inhibitor,0.9147,Non-inhibitor,0.5908,Non-substrate,0.7898,Non-substrate,0.9116,Non-substrate,0.6843,Non-inhibitor,0.8374,Non-inhibitor,0.9071,Non-inhibitor,0.923,Inhibitor,0.8993,Inhibitor,0.6451,High CYP Inhibitory Promiscuity,0.7027,Non AMES toxic,0.6371,Non-carcinogens,0.8926,Not ready biodegradable,0.9864,"1.9916 LD50, mol/kg",Not applicable,Weak inhibitor,0.9261,Non-inhibitor,0.8817
DB08366,+,0.5661,-,0.782,-,0.6954,Substrate,0.7704,Non-inhibitor,0.9305,Non-inhibitor,0.8106,Non-inhibitor,0.9186,Non-substrate,0.7226,Non-substrate,0.812,Substrate,0.6913,Non-inhibitor,0.8335,Non-inhibitor,0.8514,Non-inhibitor,0.8931,Non-inhibitor,0.8335,Non-inhibitor,0.9476,Low CYP Inhibitory Promiscuity,0.8182,Non AMES toxic,0.6614,Non-carcinogens,0.9485,Not ready biodegradable,0.9897,"2.9926 LD50, mol/kg",Not applicable,Weak inhibitor,0.9709,Non-inhibitor,0.8182
DB05804,+,0.996,+,0.9388,-,0.6601,Non-substrate,0.507,Inhibitor,0.6926,Non-inhibitor,0.9548,Non-inhibitor,0.7909,Non-substrate,0.8322,Non-substrate,0.8338,Substrate,0.6799,Non-inhibitor,0.8203,Non-inhibitor,0.84,Non-inhibitor,0.882,Non-inhibitor,0.8117,Non-inhibitor,0.9481,Low CYP Inhibitory Promiscuity,0.7575,Non AMES toxic,0.5802,Non-carcinogens,0.586,Not ready biodegradable,0.9519,"2.4168 LD50, mol/kg",Not applicable,Strong inhibitor,0.5859,Inhibitor,0.5409
DB05805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB05830,+,1.0,+,0.973,+,0.8984,Substrate,0.6498,Inhibitor,0.5489,Non-inhibitor,0.8923,Non-inhibitor,0.7324,Non-substrate,0.8167,Non-substrate,0.9116,Substrate,0.7739,Non-inhibitor,0.9005,Non-inhibitor,0.95,Non-inhibitor,0.9452,Non-inhibitor,0.6668,Non-inhibitor,0.8812,Low CYP Inhibitory Promiscuity,0.8683,Non AMES toxic,0.9382,Non-carcinogens,0.9483,Not ready biodegradable,0.9174,"1.6259 LD50, mol/kg",Not applicable,Weak inhibitor,0.8938,Non-inhibitor,0.7163
DB08387,+,1.0,+,0.993,+,0.6104,Non-substrate,0.679,Non-inhibitor,0.5662,Inhibitor,0.8714,Inhibitor,0.6129,Non-substrate,0.7196,Non-substrate,0.6791,Substrate,0.6687,Inhibitor,0.8023,Inhibitor,0.6659,Non-inhibitor,0.7439,Inhibitor,0.7536,Inhibitor,0.6054,High CYP Inhibitory Promiscuity,0.9682,Non AMES toxic,0.6614,Non-carcinogens,0.9475,Not ready biodegradable,0.9877,"2.2528 LD50, mol/kg",Not applicable,Weak inhibitor,0.8211,Non-inhibitor,0.6704
DB08388,+,0.9362,+,0.8022,-,0.6118,Substrate,0.8613,Inhibitor,0.6656,Non-inhibitor,0.9264,Non-inhibitor,0.8241,Non-substrate,0.7648,Non-substrate,0.818,Substrate,0.5196,Non-inhibitor,0.7325,Non-inhibitor,0.7189,Non-inhibitor,0.8904,Non-inhibitor,0.5675,Non-inhibitor,0.911,Low CYP Inhibitory Promiscuity,0.5565,Non AMES toxic,0.6363,Non-carcinogens,0.883,Not ready biodegradable,0.9971,"2.5001 LD50, mol/kg",Not applicable,Weak inhibitor,0.9489,Inhibitor,0.5663
DB01032,+,0.9972,+,0.5486,-,0.6074,Non-substrate,0.626,Non-inhibitor,0.8323,Non-inhibitor,0.9121,Non-inhibitor,0.8253,Non-substrate,0.7012,Non-substrate,0.9116,Non-substrate,0.6485,Non-inhibitor,0.9045,Non-inhibitor,0.9071,Non-inhibitor,0.9231,Non-inhibitor,0.9025,Non-inhibitor,0.8962,Low CYP Inhibitory Promiscuity,0.9318,Non AMES toxic,0.9133,Non-carcinogens,0.6999,Not ready biodegradable,0.863,"2.2821 LD50, mol/kg",Not applicable,Weak inhibitor,0.8521,Non-inhibitor,0.7885
DB01037,+,0.9788,+,0.9809,+,0.8453,Non-substrate,0.543,Non-inhibitor,0.9632,Non-inhibitor,0.9779,Inhibitor,0.5327,Non-substrate,0.7993,Substrate,0.6987,Non-substrate,0.5671,Inhibitor,0.9107,Non-inhibitor,0.9341,Non-inhibitor,0.9231,Non-inhibitor,0.9026,Non-inhibitor,0.9285,Low CYP Inhibitory Promiscuity,0.9285,Non AMES toxic,0.889,Non-carcinogens,0.6567,Not ready biodegradable,0.9767,"2.9199 LD50, mol/kg",Not applicable,Weak inhibitor,0.8869,Non-inhibitor,0.8269
DB08426,+,0.9914,+,0.7209,-,0.736,Substrate,0.696,Inhibitor,0.6413,Inhibitor,0.6023,Non-inhibitor,0.649,Non-substrate,0.6535,Non-substrate,0.7259,Substrate,0.5367,Non-inhibitor,0.8015,Non-inhibitor,0.7114,Non-inhibitor,0.5524,Inhibitor,0.7094,Inhibitor,0.863,High CYP Inhibitory Promiscuity,0.8185,Non AMES toxic,0.6837,Non-carcinogens,0.8192,Not ready biodegradable,0.9837,"2.3453 LD50, mol/kg",Not applicable,Weak inhibitor,0.8352,Inhibitor,0.7014
DB15339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB03322,+,0.9944,-,0.9031,+,0.6942,Substrate,0.7079,Inhibitor,0.5588,Non-inhibitor,0.8383,Non-inhibitor,0.8177,Non-substrate,0.7898,Substrate,0.8918,Non-substrate,0.6463,Inhibitor,0.9106,Non-inhibitor,0.9071,Inhibitor,0.8932,Non-inhibitor,0.9026,Non-inhibitor,0.924,Low CYP Inhibitory Promiscuity,0.8487,Non AMES toxic,0.9392,Non-carcinogens,0.9097,Not ready biodegradable,0.9871,"2.5625 LD50, mol/kg",Not applicable,Weak inhibitor,0.9185,Inhibitor,0.7092
DB15374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01105,+,0.9948,+,0.9667,+,0.6584,Non-substrate,0.5148,Non-inhibitor,0.718,Inhibitor,0.5071,Non-inhibitor,0.5805,Non-substrate,0.8056,Non-substrate,0.9115,Substrate,0.6969,Non-inhibitor,0.7059,Non-inhibitor,0.9205,Non-inhibitor,0.754,Non-inhibitor,0.7041,Non-inhibitor,0.969,Low CYP Inhibitory Promiscuity,0.8292,Non AMES toxic,0.837,Non-carcinogens,0.5808,Not ready biodegradable,0.9903,"2.9056 LD50, mol/kg",Not applicable,Weak inhibitor,0.9065,Inhibitor,0.769
DB03350,-,0.5241,+,0.9412,-,0.6162,Non-substrate,0.8491,Non-inhibitor,0.9875,Non-inhibitor,0.9882,Non-inhibitor,0.9325,Non-substrate,0.8297,Non-substrate,0.8013,Non-substrate,0.8074,Non-inhibitor,0.9003,Non-inhibitor,0.8337,Non-inhibitor,0.9413,Non-inhibitor,0.8993,Non-inhibitor,0.92,Low CYP Inhibitory Promiscuity,0.9581,Non AMES toxic,0.6793,Non-carcinogens,0.5899,Not ready biodegradable,0.7743,"2.4113 LD50, mol/kg",Not applicable,Weak inhibitor,0.9631,Non-inhibitor,0.9591
DB03368,+,0.9797,+,0.93,-,0.5944,Non-substrate,0.5051,Non-inhibitor,0.7008,Non-inhibitor,0.9366,Non-inhibitor,0.9104,Non-substrate,0.6796,Non-substrate,0.8329,Non-substrate,0.624,Inhibitor,0.5058,Non-inhibitor,0.8099,Non-inhibitor,0.9554,Non-inhibitor,0.7953,Non-inhibitor,0.8125,Low CYP Inhibitory Promiscuity,0.7721,Non AMES toxic,0.68,Non-carcinogens,0.7912,Not ready biodegradable,0.9592,"2.2886 LD50, mol/kg",Not applicable,Weak inhibitor,0.9863,Non-inhibitor,0.9167
DB01136,+,0.9706,-,0.6814,-,0.6308,Substrate,0.8552,Non-inhibitor,0.8729,Non-inhibitor,0.6521,Non-inhibitor,0.5405,Non-substrate,0.7517,Substrate,0.8918,Substrate,0.5408,Inhibitor,0.524,Non-inhibitor,0.8496,Non-inhibitor,0.7274,Non-inhibitor,0.5676,Non-inhibitor,0.6352,Low CYP Inhibitory Promiscuity,0.6048,Non AMES toxic,0.8261,Non-carcinogens,0.9692,Not ready biodegradable,0.963,"2.4566 LD50, mol/kg",Not applicable,Weak inhibitor,0.5725,Inhibitor,0.8889
DB15429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB03394,+,0.8022,+,0.7177,-,0.6047,Non-substrate,0.5512,Non-inhibitor,0.871,Non-inhibitor,0.5686,Non-inhibitor,0.8556,Non-substrate,0.855,Non-substrate,0.8718,Non-substrate,0.7379,Non-inhibitor,0.9373,Non-inhibitor,0.9171,Non-inhibitor,0.9671,Non-inhibitor,0.9138,Non-inhibitor,0.9509,Low CYP Inhibitory Promiscuity,0.9547,Non AMES toxic,0.8251,Non-carcinogens,0.7438,Ready biodegradable,0.6178,"0.9772 LD50, mol/kg",Not applicable,Weak inhibitor,0.8496,Non-inhibitor,0.8278
